id|touristic_place_id|url
1|BAR CORDANO|https://res.cloudinary.com/virtual-guide/image/upload/v1630182045/XZW6L6HWJFBFZGIKUSI6YH72PM_uqzo0t.jpg
2|BAR CORDANO|https://res.cloudinary.com/virtual-guide/image/upload/v1630182046/8e7eba7451a27ec909db812d143d3774_bkikjp.jpg
3|BAR CORDANO|https://res.cloudinary.com/virtual-guide/image/upload/v1630182049/47452617_1918285244945060_1271868442026180608_n_mixrss.jpg
4|BAR CORDANO|https://res.cloudinary.com/virtual-guide/image/upload/v1630182051/bar-el-cordano-lima_p3stjv.jpg
5|PALACIO DE TORRE TAGLE|https://res.cloudinary.com/virtual-guide/image/upload/v1629664069/foto_1_rihu2q.jpg
6|PALACIO DE TORRE TAGLE|https://res.cloudinary.com/virtual-guide/image/upload/v1629664067/foto_xvswwy.jpg
7|PALACIO DE TORRE TAGLE|https://res.cloudinary.com/virtual-guide/image/upload/v1629663953/foto_swgiit.jpg
8|MUSEO DE ARTE DE LIMA - MALI|https://res.cloudinary.com/virtual-guide/image/upload/v1629664778/foto_2_q450th.jpg
9|MUSEO DE ARTE DE LIMA - MALI|https://res.cloudinary.com/virtual-guide/image/upload/v1629664781/foto_3_a5oqxm.jpg
10|MUSEO DE ARTE DE LIMA - MALI|https://res.cloudinary.com/virtual-guide/image/upload/v1629664784/foto_4_jthqyi.jpg
11|MUSEO HISTORICO MILITAR DE LOS COMBATIENTES DEL MORRO DE ARICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629665287/museo-morro-de-arica_iya3mo.jpg
12|MUSEO HISTORICO MILITAR DE LOS COMBATIENTES DEL MORRO DE ARICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629665373/museo_combatientes_morro_arica-2_cisx4d.jpg
13|MUSEO HISTORICO MILITAR DE LOS COMBATIENTES DEL MORRO DE ARICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629665433/museo_combatientes_morro_arica-4_adwdxo.jpg
14|PARQUE UNIVERSITARIO|https://res.cloudinary.com/virtual-guide/image/upload/v1629668214/foto_5_k2ry4o.jpg
15|PARQUE UNIVERSITARIO|https://res.cloudinary.com/virtual-guide/image/upload/v1629668215/foto_7_swuhhx.jpg
16|PARQUE UNIVERSITARIO|https://res.cloudinary.com/virtual-guide/image/upload/v1629668214/foto_6_jgvbvg.jpg
17|MUSEO DE LA INQUISICIÓN Y DEL CONGRESO DE LA REPÚBLICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629668614/Inquisition_Museum__Lima_fqmc74.jpg
18|MUSEO DE LA INQUISICIÓN Y DEL CONGRESO DE LA REPÚBLICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629668593/images_1_subkpn.jpg
19|MUSEO DE LA INQUISICIÓN Y DEL CONGRESO DE LA REPÚBLICA|https://res.cloudinary.com/virtual-guide/image/upload/v1629668592/images_loi4ky.jpg
20|PALACIO DE JUSTICIA|https://res.cloudinary.com/virtual-guide/image/upload/v1629668934/1600px-Palacio_de_Justicia._Lima__Peru%CC%81._dp5s1o.jpg
21|PALACIO DE JUSTICIA|https://res.cloudinary.com/virtual-guide/image/upload/v1629668935/600px-LeonPJLima_yy0geq.jpg
22|MUSEO DEL BANCO CENTRAL DE RESERVA DEL PERÚ|https://res.cloudinary.com/virtual-guide/image/upload/v1629669224/foto_8_sojplw.jpg
23|MUSEO DEL BANCO CENTRAL DE RESERVA DEL PERÚ|https://res.cloudinary.com/virtual-guide/image/upload/v1629669225/foto_9_tdeqve.jpg
24|MUSEO DEL PALACIO ARZOBISPAL DE LIMA|https://res.cloudinary.com/virtual-guide/image/upload/v1629669517/foto_10_bfxoii.jpg
25|MUSEO DEL PALACIO ARZOBISPAL DE LIMA|https://res.cloudinary.com/virtual-guide/image/upload/v1629669518/foto_11_mghs6f.jpg
26|MATE MUSEO MARIO TESTINO|https://res.cloudinary.com/virtual-guide/image/upload/v1629669903/foto_12_sif5af.jpg
27|MATE MUSEO MARIO TESTINO|https://res.cloudinary.com/virtual-guide/image/upload/v1629669917/HM_9957-1_fachada__1_zcpxac.jpg
28|MATE MUSEO MARIO TESTINO|https://res.cloudinary.com/virtual-guide/image/upload/v1629669918/1723239_vetto7.jpg
29|MATE MUSEO MARIO TESTINO|https://res.cloudinary.com/virtual-guide/image/upload/v1629669919/5d_h0gbm9.jpg
30|MATE MUSEO MARIO TESTINO|https://res.cloudinary.com/virtual-guide/image/upload/v1629669920/810a465c071aef85f8ec848ad808bb89_ze4bid.jpg
31|PLAZA FRANCIA O PLAZA DE LA RECOLETA|https://res.cloudinary.com/virtual-guide/image/upload/v1629670450/foto_13_xovyj6.jpg
32|PLAZA FRANCIA O PLAZA DE LA RECOLETA|https://res.cloudinary.com/virtual-guide/image/upload/v1629670451/plaza-francia_zimeip.jpg
33|PLAZA FRANCIA O PLAZA DE LA RECOLETA|https://res.cloudinary.com/virtual-guide/image/upload/v1629670452/descarga_wib1jt.jpg
34|BIBLIOTECA MUNICIPAL MANUEL BEINGOLEA|https://res.cloudinary.com/virtual-guide/image/upload/v1629671318/foto_14_srurw4.jpg
35|BIBLIOTECA MUNICIPAL MANUEL BEINGOLEA|https://res.cloudinary.com/virtual-guide/image/upload/v1629671319/39568790_3Jwcb9GcnYlIiLLkwPN80XJOmebHFjC3mC1MQ3BVoEc_hkf9uy.jpg
36|PLAZA BOLOGNESI|https://res.cloudinary.com/virtual-guide/image/upload/v1629671604/Plaza_Bolognesi_wkb6yv.jpg
37|PLAZA BOLOGNESI|https://res.cloudinary.com/virtual-guide/image/upload/v1629671605/300px-Lima-Peru-1928-02_n4hfns.jpg
38|PARQUE MUNICIPAL DE BARRANCO|https://res.cloudinary.com/virtual-guide/image/upload/v1629671872/foto_15_o9wdtd.jpg
